"Path","Method","Name","File","Line"
"/employee-benefits/{employeeId}","POST","employee.benefits.assign","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","356"
"/employee-benefits/{employeeId}/{benefitId}","DELETE","employee.benefits.remove","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","358"
"/employee-documents/{employeeId}","POST","employee.documents.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","432"
"/employee-documents/{employeeId}/{documentId}","DELETE","employee.documents.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","434"
"/employees","GET","employees","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","699"
"/employees/{employee}/risk-profile","GET","employee-risk-profile","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","921"
"/employees/{employeeId}","GET","employee","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1037"
"/employees/{employeeId}/{competencyId}/assess","POST","assess","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","148"
"/employees/{employeeId}/{competencyId}/endorse","POST","endorse","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","150"
"/employees/{employeeId}/gap-analysis","GET","gap-analysis","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","149"
"/employees/{employeeId}/summary","GET","employee-summary","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","961"
"/employees/{id}","DELETE","employees.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","506"
"/employees/{id}/restore","POST","employees.restore","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","507"
"/employees/list","GET","employees.list","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","498"
"/employees/onboard","POST","employees.onboard","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","502"
"/employees/onboard-bulk","POST","employees.onboard-bulk","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","503"
"/employees/onboarding-analytics","GET","employees.onboarding-analytics","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","500"
"/employees/paginate","GET","employees.paginate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","700"
